colsample_bytree,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,best_iteration,valid_rmse_log,valid_r2_log
1.0,0.05,6,1,1.0,0.8,936,0.39887382649985215,0.40973951848294976
0.8,0.05,6,1,1.0,0.8,918,0.3988915413616299,0.40968708779262275
0.8,0.05,8,1,1.0,1.0,1327,0.398898712244603,0.40966586346259326
1.0,0.03,8,1,1.0,0.8,1096,0.39893513638320627,0.40955804965691867
0.8,0.05,8,1,1.0,0.8,726,0.39900269476461464,0.4093580538360193
0.8,0.03,6,1,1.0,0.8,1555,0.3990090535381003,0.4093392279567799
1.0,0.03,6,1,1.0,0.8,1361,0.39904484110255334,0.40923326916601455
0.8,0.03,8,1,1.0,0.8,1137,0.3990451263114164,0.4092324246896526
1.0,0.05,8,1,1.0,0.8,678,0.3990838278620457,0.4091178274752668
0.8,0.05,8,1,5.0,0.8,900,0.39909545174665734,0.409083406405115
0.8,0.03,8,1,5.0,1.0,2779,0.399158845744115,0.4088956641491469
0.8,0.05,8,1,5.0,1.0,1826,0.39917699362181774,0.4088419134522968
0.8,0.05,6,1,5.0,0.8,1284,0.39919553360492116,0.4087869988874092
1.0,0.05,6,1,5.0,0.8,1077,0.39921849706266793,0.40871897866117357
0.8,0.03,8,1,1.0,1.0,1834,0.39924598127562444,0.4086375623288949
0.8,0.03,8,1,5.0,0.8,1361,0.39934652967638234,0.4083396605960886
0.8,0.05,6,1,1.0,1.0,1596,0.3993511211291987,0.40832605538884814
1.0,0.05,8,1,5.0,0.8,798,0.3993704407203383,0.40826880664411225
1.0,0.03,6,1,5.0,0.8,1831,0.3993971466629369,0.4081896657461507
0.8,0.03,6,1,5.0,0.8,1833,0.39939809088753164,0.40818686751617717
1.0,0.05,8,1,5.0,1.0,1878,0.39941591972993196,0.4081340301150358
1.0,0.05,8,1,1.0,1.0,1114,0.3994221642376496,0.4081155233889625
1.0,0.05,6,1,5.0,1.0,2190,0.39942804687652683,0.40809808886186427
1.0,0.03,8,1,1.0,1.0,1871,0.3994368777170226,0.4080719161922769
1.0,0.03,8,1,5.0,0.8,1355,0.39950673132060366,0.40786486507846065
0.8,0.03,6,1,1.0,1.0,2392,0.3995122177317695,0.4078486014269709
1.0,0.03,8,1,5.0,1.0,2574,0.39957070075176404,0.4076752233159707
0.8,0.03,6,1,5.0,1.0,3202,0.3996134322144972,0.4075485260506774
1.0,0.03,6,1,5.0,1.0,3141,0.3996489284097388,0.4074432707940022
1.0,0.05,6,1,1.0,1.0,1658,0.39971910462470284,0.40723515293674706
1.0,0.03,6,1,1.0,1.0,2342,0.3997223241675544,0.40722560403358155
0.8,0.05,6,1,5.0,1.0,1740,0.39973579541548515,0.4071856485698383
1.0,0.05,6,5,5.0,0.8,953,0.40050297632045095,0.4049079827592805
0.8,0.03,6,5,5.0,0.8,1828,0.4005311041768916,0.4048243916170974
0.8,0.05,8,5,5.0,0.8,695,0.4005393642538221,0.4047998429767843
1.0,0.03,6,5,5.0,0.8,1653,0.40055246144271806,0.40476091758250665
0.8,0.05,6,5,5.0,0.8,958,0.40056243217343307,0.40473128329965435
1.0,0.05,6,5,1.0,0.8,792,0.4006072417000644,0.40459809456691875
1.0,0.05,8,5,5.0,0.8,768,0.40060887068783085,0.40459325239587907
0.8,0.05,6,5,5.0,1.0,1624,0.4006612573745026,0.4044375223138774
0.8,0.03,6,5,5.0,1.0,2464,0.4006676855140292,0.40441841195896466
0.8,0.05,8,5,1.0,0.8,690,0.40066854969456855,0.40441584279458387
1.0,0.05,8,5,1.0,0.8,688,0.40068155693655644,0.40437717226249437
0.8,0.05,6,5,1.0,0.8,897,0.4006856837877742,0.4043649028709647
1.0,0.03,8,5,5.0,0.8,1329,0.4007009930085369,0.40431938647860666
0.8,0.03,6,5,1.0,0.8,1367,0.40070103302599036,0.40431926749900426
1.0,0.03,6,5,1.0,0.8,1367,0.4007028523730587,0.4043138582169442
0.8,0.03,8,5,5.0,0.8,1219,0.400709041337573,0.40429545700596103
0.8,0.03,8,5,1.0,0.8,1096,0.4007258461185559,0.40424549110424746
0.8,0.03,6,5,1.0,1.0,2033,0.4007284948111222,0.40423761551663895
1.0,0.05,6,5,5.0,1.0,1512,0.40074218008522633,0.404196923073463
0.8,0.05,8,5,5.0,1.0,1214,0.40074371859556357,0.4041923483069526
0.8,0.05,6,5,1.0,1.0,1266,0.4007496329434146,0.40417476180693335
0.8,0.03,8,5,5.0,1.0,1882,0.40077240599180014,0.4041070430050022
0.8,0.03,8,5,1.0,1.0,1756,0.4007876880367763,0.40406159757784677
1.0,0.03,6,5,5.0,1.0,2595,0.4008244193583162,0.403952359650644
1.0,0.03,8,5,1.0,0.8,948,0.4008246076743958,0.4039517995780745
1.0,0.03,6,5,1.0,1.0,2092,0.40083867047131205,0.4039099745420063
1.0,0.05,6,5,1.0,1.0,1366,0.4008916931089101,0.40375226343202275
0.8,0.05,8,5,1.0,1.0,1003,0.4009093754957948,0.40369966410979374
1.0,0.03,8,5,5.0,1.0,1995,0.4009163516582325,0.40367891166821057
1.0,0.05,8,5,5.0,1.0,1092,0.400991759466127,0.4034545681371865
1.0,0.05,8,5,1.0,1.0,991,0.4010003833601712,0.40342890875743187
1.0,0.03,8,5,1.0,1.0,1451,0.40103061611469765,0.40333895040325496
