work_year,experience_level_encoded,is_US_company,salary_in_usd
2024,2,0,130000
2025,0,0,38724
2025,1,1,138810
2025,1,1,85300
2024,2,1,149469
2024,1,1,296300
2025,1,1,170000
2025,1,1,80000
2024,1,1,122000
2024,1,1,220000
2024,1,1,107765
2025,1,1,236500
2025,3,1,156160
2024,2,1,92592
2024,2,1,253300
2025,1,1,100000
2024,2,0,220000
2024,1,1,116000
2023,1,1,102000
2025,2,1,155000
2024,2,1,197000
2024,0,0,68000
2024,2,1,303000
2022,2,1,191200
2024,1,1,83600
2025,2,1,107700
2025,0,1,170000
2023,2,0,190000
2025,2,1,117800
2023,1,1,125000
2025,2,1,124200
2025,2,0,102631
2025,1,1,139710
2024,0,1,139650
2023,2,1,178500
2024,1,1,259000
2024,2,0,268750
2024,2,0,100000
2024,3,1,160000
2025,0,0,68700
2024,1,1,144000
2025,2,1,295000
2025,1,1,201200
2025,2,1,85300
2024,1,1,108497
2025,2,1,160000
2024,0,1,60300
2023,2,1,148700
2025,2,1,136400
2024,1,1,21099
2025,1,1,299300
2025,2,1,107800
2024,1,1,161900
2024,2,1,118500
2024,2,0,268750
2025,2,1,100000
2023,2,0,102492
2025,1,1,150000
2024,1,1,67600
2025,2,1,267500
2025,1,1,67670
2024,1,1,189000
2025,1,0,82278
2024,1,1,118000
2025,1,1,385000
2025,0,1,95000
2025,2,1,79000
2024,2,1,200618
2024,1,1,173400
2022,2,1,200100
2024,1,1,214500
2024,2,1,173400
2024,2,1,175000
2025,0,1,166000
2025,2,1,112257
2024,2,1,150000
2024,2,1,103400
2025,0,1,56000
2024,0,1,156750
2024,1,1,150000
2025,1,1,200000
2025,2,1,174000
2023,3,1,314100
2024,2,0,259900
2023,2,1,79000
2024,1,0,87500
2025,2,1,74000
2025,2,1,125100
2024,1,1,177300
2023,0,0,130000
2024,2,1,142000
2024,2,1,100000
2024,2,1,158000
2024,2,1,277000
2024,2,1,295000
2024,1,1,139319
2025,2,1,171500
2024,1,1,93400
2024,2,1,166000
2025,2,1,84000
2024,1,1,140000
2025,2,1,95264
2025,0,1,62222
2025,2,0,60714
2024,2,0,120000
2025,0,1,71000
2024,1,0,43500
2025,2,0,88900
2025,2,1,110000
2024,2,1,238400
2025,0,0,16000
2025,2,0,126406
2024,2,0,150000
2025,1,1,106000
2024,2,1,250944
2025,1,1,165983
2025,2,1,98000
2023,1,1,48000
2025,1,1,130000
2024,1,1,172400
2024,1,1,137000
2025,0,0,82278
2025,1,1,154000
2025,1,0,180000
2024,2,0,45000
2024,1,1,93000
2025,2,1,242974
2024,2,1,120750
2024,3,1,292200
2025,3,1,294000
2025,2,1,306600
2024,2,1,109100
2025,1,1,130000
2024,2,1,247250
2024,2,1,211200
2023,2,1,74400
2024,2,1,202300
2023,2,1,97300
2024,0,1,149800
2025,1,0,88800
2023,1,1,143000
2024,2,1,134550
2025,2,1,137500
2024,2,1,276000
2024,0,1,70000
2025,2,1,150100
2024,0,0,46666
2024,2,1,78000
2023,2,1,102000
2023,2,1,200000
2025,1,1,136800
2025,2,1,137259
2025,1,1,52400
2024,1,1,110000
2024,1,1,185500
2024,1,1,125500
2024,2,1,322300
2024,1,1,117200
2025,2,1,115000
2022,2,1,80000
2024,1,1,96000
2025,1,1,189000
2025,1,1,189500
2024,1,0,100000
2025,2,1,352000
2025,3,1,130000
2024,0,0,40000
