work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2024,2,1,0,0,1,0,0,0,130000
2025,0,1,0,1,0,0,0,0,38724
2025,1,1,0,0,0,0,0,0,138810
2025,1,1,100,0,1,0,0,0,85300
2024,2,1,0,1,0,0,0,0,149469
2024,1,1,0,1,0,0,0,0,296300
2025,1,1,0,1,0,0,0,0,170000
2025,1,1,0,0,0,0,0,1,80000
2024,1,1,0,1,0,0,0,0,122000
2024,1,1,0,0,0,0,1,0,220000
2024,1,1,0,1,0,0,0,0,107765
2025,1,1,0,0,0,0,1,0,236500
2025,3,1,0,0,0,0,1,0,156160
2024,2,1,0,1,0,0,0,0,92592
2024,2,1,0,1,0,0,0,0,253300
2025,1,1,0,1,0,0,0,0,100000
2024,2,1,0,0,0,0,1,0,220000
2024,1,1,0,1,0,0,0,0,116000
2023,1,1,0,1,0,0,0,0,102000
2025,2,1,0,1,0,0,0,0,155000
2024,2,1,0,0,1,0,0,0,197000
2024,0,1,0,0,0,0,0,0,68000
2024,2,1,0,1,0,0,0,0,303000
2022,2,1,0,1,0,0,0,0,191200
2024,1,1,0,0,0,0,1,0,83600
2025,2,1,0,0,0,0,0,0,107700
2025,0,1,0,0,0,0,0,0,170000
2023,2,1,100,1,0,0,0,0,190000
2025,2,1,100,1,0,0,0,0,117800
2023,1,1,0,0,0,0,1,0,125000
2025,2,1,0,1,0,0,0,0,124200
2025,2,1,0,1,0,0,0,0,102631
2025,1,1,0,1,0,0,0,0,139710
2024,0,1,0,1,0,0,0,0,139650
2023,2,1,0,0,1,0,0,0,178500
2024,1,1,0,1,0,0,0,0,259000
2024,2,1,0,1,0,0,0,0,268750
2024,2,1,0,1,0,0,0,0,100000
2024,3,1,0,1,0,0,0,0,160000
2025,0,1,0,0,1,0,0,0,68700
2024,1,1,0,0,0,0,0,0,144000
2025,2,1,100,1,0,0,0,0,295000
2025,1,2,0,1,0,0,0,0,201200
2025,2,1,100,1,0,0,0,0,85300
2024,1,1,0,0,0,0,1,0,108497
2025,2,1,0,0,1,0,0,0,160000
2024,0,1,0,0,0,0,0,0,60300
2023,2,1,0,0,0,0,0,0,148700
2025,2,1,0,1,0,0,0,0,136400
2024,1,1,0,0,0,0,1,0,21099
2025,1,1,0,0,0,0,1,0,299300
2025,2,1,0,0,0,0,0,0,107800
2024,1,1,0,0,1,0,0,0,161900
2024,2,1,0,0,1,0,0,0,118500
2024,2,2,50,0,0,0,1,0,268750
2025,2,1,0,0,0,0,1,0,100000
2023,2,1,0,1,0,0,0,0,102492
2025,1,1,0,1,0,0,0,0,150000
2024,1,1,0,0,1,0,0,0,67600
2025,2,1,100,0,0,0,0,0,267500
2025,1,1,100,1,0,0,0,0,67670
2024,1,1,0,1,0,0,0,0,189000
2025,1,1,0,0,0,0,0,0,82278
2024,1,1,0,1,0,0,0,0,118000
2025,1,1,0,0,1,0,0,0,385000
2025,0,1,100,0,0,0,0,0,95000
2025,2,1,0,1,0,0,0,0,79000
2024,2,1,0,1,0,0,0,0,200618
2024,1,1,0,1,0,0,0,0,173400
2022,2,1,100,1,0,0,0,0,200100
2024,1,1,0,1,0,0,0,0,214500
2024,2,1,0,0,1,0,0,0,173400
2024,2,1,0,1,0,0,0,0,175000
2025,0,1,100,0,1,0,0,0,166000
2025,2,1,0,0,0,0,0,0,112257
2024,2,1,100,0,1,0,0,0,150000
2024,2,1,100,0,1,0,0,0,103400
2025,0,1,0,0,0,0,0,0,56000
2024,0,1,0,1,0,0,0,0,156750
2024,1,1,0,0,0,0,0,1,150000
2025,1,1,0,0,1,0,0,0,200000
2025,2,1,0,0,0,0,1,0,174000
2023,3,1,0,0,1,0,0,0,314100
2024,2,1,100,1,0,0,0,0,259900
2023,2,1,0,0,0,0,0,0,79000
2024,1,1,0,0,0,0,0,1,87500
2025,2,1,0,0,0,0,1,0,74000
2025,2,1,0,0,1,0,0,0,125100
2024,1,1,0,1,0,0,0,0,177300
2023,0,0,100,1,0,0,0,0,130000
2024,2,1,0,0,0,0,0,0,142000
2024,2,1,0,0,0,0,0,1,100000
2024,2,1,100,0,0,0,0,0,158000
2024,2,1,0,1,0,0,0,0,277000
2024,2,1,100,0,0,0,0,1,295000
2024,1,1,0,1,0,0,0,0,139319
2025,2,1,0,0,0,0,1,0,171500
2024,1,1,0,1,0,0,0,0,93400
2024,2,1,0,0,0,0,0,0,166000
2025,2,1,100,0,0,0,0,0,84000
2024,1,1,0,0,0,0,1,0,140000
2025,2,1,0,0,0,0,0,0,95264
2025,0,1,0,1,0,0,0,0,62222
2025,2,1,0,0,0,0,1,0,60714
2024,2,1,0,0,0,0,0,1,120000
2025,0,1,0,0,0,0,0,0,71000
2024,1,1,0,0,0,0,0,1,43500
2025,2,1,0,0,0,0,0,1,88900
2025,2,1,0,0,0,0,0,0,110000
2024,2,1,100,1,0,0,0,0,238400
2025,0,1,100,0,0,0,0,0,16000
2025,2,1,0,0,1,0,0,0,126406
2024,2,1,0,0,1,0,0,0,150000
2025,1,1,100,0,0,0,0,1,106000
2024,2,1,100,0,1,0,0,0,250944
2025,1,1,0,0,1,0,0,0,165983
2025,2,1,0,1,0,0,0,0,98000
2023,1,1,100,0,0,0,0,0,48000
2025,1,1,100,1,0,0,0,0,130000
2024,1,1,0,0,0,0,0,1,172400
2024,1,1,0,0,0,0,0,0,137000
2025,0,1,0,0,0,0,0,0,82278
2025,1,1,100,1,0,0,0,0,154000
2025,1,1,100,0,1,0,0,0,180000
2024,2,1,0,1,0,0,0,0,45000
2024,1,1,0,0,0,0,0,1,93000
2025,2,1,100,0,1,0,0,0,242974
2024,2,1,0,1,0,0,0,0,120750
2024,3,1,0,1,0,0,0,0,292200
2025,3,1,0,1,0,0,0,0,294000
2025,2,1,0,1,0,0,0,0,306600
2024,2,1,0,0,0,0,0,1,109100
2025,1,1,100,0,0,0,0,1,130000
2024,2,1,0,1,0,0,0,0,247250
2024,2,1,0,0,0,0,0,0,211200
2023,2,1,0,0,0,0,0,0,74400
2024,2,1,100,1,0,0,0,0,202300
2023,2,1,0,0,1,0,0,0,97300
2024,0,2,0,1,0,0,0,0,149800
2025,1,1,0,0,1,0,0,0,88800
2023,1,1,0,0,0,0,0,0,143000
2024,2,1,0,0,0,0,1,0,134550
2025,2,1,0,0,0,0,0,0,137500
2024,2,1,0,1,0,0,0,0,276000
2024,0,1,0,0,0,0,0,0,70000
2025,2,1,0,1,0,0,0,0,150100
2024,0,1,0,0,0,0,0,1,46666
2024,2,1,0,0,0,0,0,1,78000
2023,2,1,100,0,0,0,0,1,102000
2023,2,2,100,1,0,0,0,0,200000
2025,1,1,0,0,0,0,1,0,136800
2025,2,1,0,1,0,0,0,0,137259
2025,1,1,100,0,1,0,0,0,52400
2024,1,1,100,1,0,0,0,0,110000
2024,1,1,0,0,0,0,1,0,185500
2024,1,2,0,0,1,0,0,0,125500
2024,2,1,0,0,0,0,1,0,322300
2024,1,1,0,0,0,0,1,0,117200
2025,2,1,0,1,0,0,0,0,115000
2022,2,2,0,1,0,0,0,0,80000
2024,1,1,0,0,0,0,1,0,96000
2025,1,1,0,1,0,0,0,0,189000
2025,1,1,0,0,0,1,0,0,189500
2024,1,1,0,1,0,0,0,0,100000
2025,2,1,0,1,0,0,0,0,352000
2025,3,1,0,1,0,0,0,0,130000
2024,0,1,0,0,0,0,1,0,40000
2024,1,1,0,1,0,0,0,0,115000
2024,1,1,100,1,0,0,0,0,140000
2025,1,1,0,0,0,0,0,0,90000
2025,1,1,0,0,0,0,0,1,147000
2025,2,1,0,0,1,0,0,0,206645
2024,1,1,0,0,0,0,1,0,213000
2023,1,1,100,0,1,0,0,0,97750
2025,1,1,0,0,1,0,0,0,117000
2024,1,1,0,1,0,0,0,0,108500
2024,0,1,0,0,0,0,0,0,102795
2025,3,1,0,1,0,0,0,0,250000
2025,1,1,0,0,0,0,0,1,98000
2024,1,1,100,1,0,0,0,0,103500
2023,2,1,100,1,0,0,0,0,137500
2025,2,1,0,0,1,0,0,0,122304
2025,2,1,0,0,0,0,0,0,96600
2024,1,1,100,1,0,0,0,0,149463
2025,1,1,0,0,0,0,1,0,197760
2023,2,1,0,0,1,0,0,0,208500
2024,1,1,0,1,0,0,0,0,140000
2025,0,1,0,0,0,0,0,0,36842
2025,2,1,100,1,0,0,0,0,245500
2023,2,1,100,1,0,0,0,0,96800
2025,3,1,0,1,0,0,0,0,139200
2024,1,1,0,0,0,0,1,0,56250
2025,0,1,0,0,1,0,0,0,86520
2024,2,1,0,1,0,0,0,0,137510
2023,1,1,0,0,1,0,0,0,220000
2025,2,1,0,1,0,0,0,0,146000
2025,1,1,0,0,1,0,0,0,119500
