job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Analyst,US,US,EN,FT,126990,11.751871496787873
Business Intelligence Developer,US,US,MI,FT,110000,11.608244735642321
Data Analyst,US,US,EN,FT,85104,11.351641067242074
Data Operations Analyst,US,US,SE,FT,140000,11.849404844423074
Platform Engineer,US,US,MI,FT,127000,11.751950239425476
Data Modeler,US,US,SE,FT,258700,12.463428233647901
Manager,CA,CA,SE,FT,176000,12.07824495582233
Data Engineer,GB,GB,MI,FT,56962,10.950157213238244
Data Engineer,US,US,SE,FT,154560,11.94834411940471
Data Engineer,US,US,MI,FT,61600,11.028433383156079
Engineer,US,US,MI,FT,123500,11.724004532183379
Software Engineer,US,US,SE,FT,276000,12.52815976788113
Data Architect,US,US,SE,FT,143000,11.870606902224587
Business Analyst,US,US,SE,FT,138100,11.835740580500783
Data Scientist,US,US,MI,FT,133000,11.798111925972618
Software Engineer,US,US,MI,FT,61200,11.021918808236205
Data Engineer,US,US,MI,FT,96400,11.476271853988816
Manager,US,US,SE,FT,340300,12.737585799068283
Data Engineer,US,US,SE,FT,195000,12.180759965737863
Software Engineer,US,US,MI,FT,159000,11.976665770490767
Solutions Engineer,US,US,SE,FT,104000,11.552155793461898
Analyst,US,US,EN,FT,75371,11.23019113224238
Analytics Engineer,GB,GB,SE,FT,75000,11.225256725762893
Manager,US,US,SE,FT,252000,12.437188334739655
Business Analyst,LT,LT,EN,FT,54400,10.904137815028022
Data Analyst,US,US,MI,FT,105320,11.564768108437939
Analyst,US,US,SE,FT,176875,12.083204201073904
Data Analyst,GB,GB,EN,FT,112557,11.631223923329062
Data Operations Analyst,US,US,SE,FT,66000,11.097425172408931
Data Reporting Analyst,US,US,EN,FT,74000,11.211833885608513
Associate,US,US,SE,FT,117800,11.676752039127939
Engineer,US,US,EN,FT,126000,11.744045122410057
Data Analyst,US,US,MI,FT,76230,11.241523483091212
Data Manager,US,US,SE,FT,126000,11.744045122410057
Associate,US,US,MI,FT,216040,12.283223483468564
Solutions Architect,US,US,SE,FT,81500,11.308370569092329
Site Reliability Engineer,US,US,SE,FT,154800,11.949895700065218
Solutions Architect,US,US,SE,FT,205000,12.230770136157428
Data Scientist,US,US,MI,FT,152300,11.933614104849879
Data Scientist,US,US,SE,FT,173430,12.063535104743115
Data Scientist,US,US,SE,FT,169233,12.039037651593869
Account Executive,US,US,EX,FT,300000,12.611541086966115
Data Architect,US,US,SE,FT,87280,11.376888077819869
Research Engineer,US,US,MI,FT,301200,12.615533094955484
Machine Learning Engineer,US,US,SE,FT,360000,12.793862088206213
Data Architect,US,US,SE,FT,265200,12.4882433080258
Machine Learning Engineer,US,US,MI,FT,83000,11.326607934898927
Data Governance Lead,US,US,SE,FT,193032,12.170616437726805
Platform Engineer,US,US,SE,FT,211255,12.260825947182944
Manager,US,US,SE,FT,598287,13.301827522349305
AI Data Scientist,IT,IT,MI,FT,41111,10.624055328672066
Data Manager,FR,FR,EN,FT,67253,11.116231775249151
Associate,US,US,MI,FT,167500,12.02874460037869
Manager,US,US,MI,FT,222300,12.31178759836772
Software Engineer,US,US,SE,FT,304000,12.624786269856633
Data Product Manager,US,US,MI,FT,135000,11.813037464800539
Machine Learning Engineer,US,US,SE,FT,282000,12.549665896013254
Manager,CA,CA,SE,FT,153200,11.939506063682469
Data Analyst,US,US,SE,FT,138000,11.835016210489899
Consultant,US,US,MI,FT,71800,11.181653682515929
Data Visualization Engineer,US,US,MI,FT,720000,13.487007879880162
Machine Learning Engineer,US,US,SE,FT,140000,11.849404844423074
Data Engineer,US,US,SE,FT,197100,12.19147156669466
Data Scientist,NZ,NZ,SE,FT,205670,12.23403308368951
Data Scientist,US,US,SE,FT,95000,11.461642696843066
Software Engineer,US,US,SE,FT,274600,12.523074413969974
Manager,US,US,MI,FT,232300,12.35578922352754
